Year,Month,PDSI
2060,12,0.53
2061,1,0.76
2061,2,0.79
2061,3,-0.59
2061,4,-1.47
2061,5,0.03
2061,6,1.34
2061,7,1.55
2061,8,1.38
2061,9,1.92
2061,10,1.37
2061,11,2.41
2061,12,2.39
2062,1,2.4
2062,2,2.18
2062,3,1.9
2062,4,2.38
2062,5,2.26
2062,6,3.14
2062,7,3.34
2062,8,2.86
2062,9,3.9
2062,10,4.4
2062,11,4.39
2062,12,3.77
2063,1,3.86
2063,2,-0.13
2063,3,-0.36
2063,4,-0.95
2063,5,-0.88
2063,6,-0.98
2063,7,-1.52
2063,8,0.67
2063,9,0.46
2063,10,2.34
2063,11,1.96
2063,12,2.59
2064,1,-0.3
2064,2,-0.3
2064,3,-0.54
2064,4,-0.77
2064,5,1.04
2064,6,-0.05
2064,7,-0.38
2064,8,-0.45
2064,9,-1.25
2064,10,-1.18
2064,11,-1.65
2064,12,-1.76
2065,1,-2.1
2065,2,-2.37
2065,3,-2.33
2065,4,-2.78
2065,5,-1.84
2065,6,-1.65
2065,7,-2.35
2065,8,-3
2065,9,-3.97
2065,10,-4.1
2065,11,-2.81
2065,12,-2.92
2066,1,-2.5
2066,2,-1.24
2066,3,-2.19
2066,4,-2.31
2066,5,-2.72
2066,6,-2.68
2066,7,-2.65
2066,8,-3.18
2066,9,-2.8
2066,10,-2.54
2066,11,-2.9
2066,12,-2.38
2067,1,-2.43
2067,2,-2.45
2067,3,-1.77
2067,4,-2.28
2067,5,-1.77
2067,6,-2.58
2067,7,-2.61
2067,8,1.43
2067,9,0.51
2067,10,0.31
2067,11,1.01
2067,12,1.06
2068,1,-0.15
2068,2,-0.42
2068,3,-0.52
2068,4,-0.97
2068,5,0.38
2068,6,0.66
2068,7,0.64
2068,8,-1.03
2068,9,-1.14
2068,10,0.54
2068,11,0.3
2068,12,0.72
2069,1,0.75
2069,2,-0.39
2069,3,-0.38
2069,4,0.18
2069,5,0.21
2069,6,0.39
2069,7,-0.1
2069,8,-0.18
2069,9,-0.83
2069,10,-0.66
2069,11,-1.06
2069,12,0.23
2070,1,0.37
2070,2,-0.46
2070,3,-0.8
2070,4,-1.09
2070,5,-1.13
2070,6,0.33
2070,7,0.61
2070,8,-0.02
2070,9,1.06
2070,10,1.98
2070,11,1.73
2070,12,2.26
2071,1,-0.11
2071,2,0.17
2071,3,-0.02
2071,4,-0.56
2071,5,-0.98
2071,6,0
2071,7,0.94
2071,8,1.26
2071,9,1.94
2071,10,1.74
2071,11,1.44
2071,12,2.07
2072,1,2.14
2072,2,2.38
2072,3,2.76
2072,4,2.25
2072,5,3.12
2072,6,-0.45
2072,7,-0.81
2072,8,-0.91
2072,9,-0.31
2072,10,-0.17
2072,11,-0.53
2072,12,-0.99
2073,1,-1.1
2073,2,-1.41
2073,3,-1.75
2073,4,1.29
2073,5,1.41
2073,6,2.26
2073,7,2.95
2073,8,-0.72
2073,9,-1.88
2073,10,-1.51
2073,11,-1.67
2073,12,-1.65
2074,1,-1.55
2074,2,-1.11
2074,3,-1.89
2074,4,-0.81
2074,5,-1.04
2074,6,-1.47
2074,7,-2.62
2074,8,-2.9
2074,9,-3.24
2074,10,-3.11
2074,11,0.94
2074,12,1.04
2075,1,1.31
2075,2,1.01
2075,3,1.26
2075,4,1.61
2075,5,-1.79
2075,6,-3.04
2075,7,-3.38
2075,8,-3.75
2075,9,-3.5
2075,10,-3.48
2075,11,-3.59
2075,12,-4.03
2076,1,-4.23
2076,2,-3.83
2076,3,-3.81
2076,4,-2.93
2076,5,-2.15
2076,6,-2.77
2076,7,-3.09
2076,8,-3.61
2076,9,-3.75
2076,10,-3.95
2076,11,-3.39
2076,12,-3.4
2077,1,-3.43
2077,2,-3.42
2077,3,-3.86
2077,4,-2.84
2077,5,-2.13
2077,6,-2.39
2077,7,-3
2077,8,-3.14
2077,9,-2.97
2077,10,-3.04
2077,11,-2.65
2077,12,-2.46
2078,1,-1.6
2078,2,-1.69
2078,3,-1.15
2078,4,-1.27
2078,5,-1.9
2078,6,-1.43
2078,7,-1.01
2078,8,-2.07
2078,9,0.13
2078,10,0.46
2078,11,-0.58
2078,12,-0.62
2079,1,0.13
2079,2,0.79
2079,3,1.42
2079,4,0.61
2079,5,0.92
2079,6,1.62
2079,7,1.56
2079,8,1.61
2079,9,2.08
2079,10,-0.45
2079,11,-0.73
2079,12,-1.1
2080,1,-1.3
2080,2,-1.36
2080,3,-1.16
2080,4,-2.11
2080,5,-2.7
2080,6,-3.37
2080,7,-4.35
2080,8,-4.12
2080,9,-3.77
2080,10,-3.53
2080,11,0.47
2080,12,0.32
2081,1,0.18
2081,2,1.02
2081,3,0.57
2081,4,1.41
2081,5,-0.51
2081,6,-1.87
2081,7,-2.37
2081,8,-2.3
2081,9,-2.67
2081,10,-2.52
2081,11,-2.72
2081,12,-2.43
2082,1,-2.36
2082,2,-2.55
2082,3,-2.55
2082,4,-2.04
2082,5,-2.61
2082,6,-3.13
2082,7,0.61
2082,8,0.51
2082,9,0.13
2082,10,0.77
2082,11,0.48
2082,12,0.57
2083,1,0.46
2083,2,1.43
2083,3,1.6
2083,4,1.21
2083,5,2.04
2083,6,-0.45
2083,7,-1.19
2083,8,-1.36
2083,9,-1.17
2083,10,-1.12
2083,11,-1.5
2083,12,0.32
2084,1,0.62
2084,2,0.51
2084,3,0.62
2084,4,0.83
2084,5,1.34
2084,6,-0.8
2084,7,-2.2
2084,8,-3.26
2084,9,-2.75
2084,10,-4
2084,11,-4.62
2084,12,-4.46
2085,1,-4.54
2085,2,-3.34
2085,3,-2.72
2085,4,-3.05
2085,5,-2.69
2085,6,-3.06
2085,7,-3.25
2085,8,-2.97
2085,9,-3.23
2085,10,0.16
2085,11,2.3
2085,12,2.83
2086,1,2.77
2086,2,-0.02
2086,3,-0.3
2086,4,-0.72
2086,5,-0.43
2086,6,-1.49
2086,7,-2.53
2086,8,-3.11
2086,9,-3.33
2086,10,0.75
2086,11,0.81
2086,12,1.53
2087,1,1.79
2087,2,2.25
2087,3,-0.75
2087,4,-0.39
2087,5,-1.46
2087,6,-1.64
2087,7,-2.55
2087,8,-2.58
2087,9,-3.03
2087,10,-3.19
2087,11,-3.47
2087,12,-3.52
2088,1,-3.55
2088,2,-3.51
2088,3,-3.51
2088,4,-2.86
2088,5,-2.21
2088,6,-2.69
2088,7,-3.84
2088,8,-4.42
2088,9,-5.21
2088,10,-5.64
2088,11,-5.61
2088,12,-4.95
2089,1,-4.3
2089,2,-3.42
2089,3,-3.04
2089,4,-3.26
2089,5,-3.35
2089,6,-4.18
2089,7,-4.52
2089,8,-4.7
2089,9,-4.65
2089,10,-5.12
2089,11,-5.42
2089,12,-4.66
2090,1,-4.52
2090,2,-2.79
2090,3,-2.72
2090,4,-2.59
2090,5,-1.75
2090,6,-1.41
